,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Designed Volume (acres^3),Current Volume Current (acres^3),Percent Available,Years until Fill,Years to Planned Closure,Difference in Years to fill and planned closure
46,Escambia,AL,-87.1923,31.2593,2066.0,Open,,105.6,,,22340335.0,14356863.0,208946.0,,,,38.21,43.0,-4.789999999999999
47,Washington,AL,-88.19,31.15848,2124.0,Open,300.0,,,,23280092.0,2202104.0,164426.0,,,,128.19,101.0,27.189999999999998
50,Winston,AL,-87.60779,34.17569,2050.0,Open,265.0,,,,,,47190.0,,,,,27.0,
51,Ashley,AR,-91.84759,33.212,,Open,20.0,,,,,,,,,,,,
52,Fulton,AR,-91.63128,36.28126,2041.0,Open,90.0,31.1,,,6490730.0,3095961.0,204577.0,,,,16.59,18.0,-1.4100000000000001
53,Faulkner,AR,-92.5068,35.1119,2072.0,Open,125.0,66.0,,,8301177.0,3263145.0,68514.0,,,,73.53,49.0,24.53
54,Sebastian,AR,-94.3704,35.2926,2061.0,Open,555.0,148.2,160.0,80.0,47823137.0,10522765.0,247055.0,2.03856384,0.2721758208,0.8664864864864865,150.98,38.0,112.97999999999999
55,Phillips,AR,-90.629,34.56726,,Open,37.0,,,,,,,,,,,,
56,Hempstead,AR,-93.6781,33.6422,,Open,82.5,,,,1110000.0,,,,,,,,
57,Conway,AR,-92.6976,35.1297,2044.0,Open,30.0,,,,1367651.0,985365.0,75572.0,,,,5.06,21.0,-15.940000000000001
58,Craighead,AR,-90.68862,35.719434,2030.0,Open,310.0,60.9,,100.0,4050450.0,2560902.0,114702.0,,0.139806912,,12.99,7.0,5.99
59,Crittenden,AR,-90.25606,35.13597,2030.0,Open,,52.0,,,3887482.0,2385247.0,111479.0,,,,13.48,7.0,6.48
60,Washington,AR,-94.256073,36.140147,2023.0,Open,147.0,124.9,,120.0,14227685.0,10773582.0,645369.0,,0.3440765184,,5.35,0.0,5.35
61,Arkansas,AR,-91.272,34.311,,Open,30.5,,,,,,,,,,,,
62,Jackson,AR,-91.0922,35.5894,,Open,27.0,,,,841045.0,,,,,,,,
63,Jefferson,AR,-92.19214,34.34676,2036.0,Open,66.0,45.1,,100.0,5845066.0,3829746.0,114937.0,,0.103535168,,17.53,13.0,4.530000000000001
64,Pulaski,AR,-92.30241,34.65129,2073.0,Open,110.0,49.6,240.0,100.0,7751457.0,3823504.0,123484.0,0.60605952,0.113865728,0.8121212121212121,31.81,50.0,-18.19
65,Mississippi,AR,-89.97,35.78,2087.0,Open,96.5,27.0,,,,2522729.0,74500.0,,,,,64.0,
68,Greene,AR,-90.4539,36.085,2032.0,Open,,207.4,,,3922300.0,2944206.0,85089.0,,,,11.49,9.0,2.49
69,Yell,AR,-93.2079,35.09,2062.0,Open,66.0,46.2,,80.0,6658931.0,3295332.0,77167.0,,0.0848483328,,43.59,39.0,4.590000000000003
70,Prairie,AR,-91.59002,34.8476,2096.0,Open,105.0,40.0,80.0,40.0,26993821.0,4027750.0,136219.0,0.19283712,0.03673088,0.8095238095238095,168.6,73.0,95.6
71,Saline,AR,-92.4818,34.5606,2042.0,Open,,51.5,,,8075586.0,4988839.0,303002.0,,,,10.19,19.0,-8.81
73,Pulaski,AR,-92.1497,34.8371,2060.0,Open,145.0,85.0,,93.0,32836670.0,14407243.0,369557.0,,0.181473504,,49.87,37.0,12.869999999999997
74,Union,AR,-92.6855,33.32,2046.0,Open,69.0,22.8,,85.0,8394453.0,3655090.0,140712.0,,0.0444902784,,33.68,23.0,10.68
75,Howard,AR,-93.868,34.075,2038.0,Open,32.0,30.2,,,4125583.0,1976187.0,105659.0,,,,20.34,15.0,5.34
77,Apache,AZ,-109.312,34.529,,Open,,,,,,,44365.0,,,,,,
78,Pinal,AZ,-111.52877,33.37893,2035.0,Open,,96.3,,,11634409.0,10009847.0,370060.0,,,,4.39,12.0,-7.61
79,Maricopa,AZ,-112.2757,33.08,2138.0,Open,691.4,203.0,190.0,,225975715.0,42557092.0,1525584.0,3.0157429888,,,120.23,115.0,5.230000000000004
80,Pinal,AZ,-111.3223,32.7679,2449.0,Open,,41.4,,,171006769.0,5201047.0,326891.0,,,,507.22,426.0,81.22000000000003
81,Pinal,AZ,-111.763015,32.830049,,Open,,106.0,,,,,,,,,,,
83,Coconino,AZ,-111.517,35.307,2054.0,Open,247.0,110.0,,50.0,12948115.0,5559437.0,111818.0,,0.1262624,,66.08,31.0,35.08
85,Maricopa,AZ,-112.3065,33.5364,2061.0,Open,260.0,141.6,,,26218553.0,11890006.0,413512.0,,,,34.65,38.0,-3.3500000000000014
86,Cochise,AZ,-110.288,31.718,,Open,,,,,4739984.0,,68812.0,,,,,,
88,Yuma,AZ,-114.04372,32.64606,2256.0,Open,510.0,66.3,,,19878402.0,7172592.0,270349.0,,,,47.0,233.0,-186.0
90,Pinal,AZ,-110.7879,32.9997,,Open,,,,,463050.0,8902.0,,,,,,,
91,Pinal,AZ,-111.291,32.68,2029.0,Open,184.0,,,,28595171.0,2576580.0,486302.0,,,,53.5,6.0,47.5
92,Yavapai,AZ,-112.0483,34.5167,2142.0,Open,172.2,67.2,,,24920357.0,4585334.0,185614.0,,,,109.56,119.0,-9.439999999999998
94,Cochise,AZ,-110.329,31.637,,Open,66.0,,,,1644682.0,1200000.0,26725.0,,,,16.64,,
96,La Paz,AZ,-114.216539,33.951822,2023.0,Open,,29.0,,,19878402.0,4090742.0,182528.0,,,,86.49,0.0,86.49
97,Mohave,AZ,-114.339,34.5463,2038.0,Open,,,,,5978950.0,2378856.0,96503.0,,,,37.31,15.0,22.310000000000002
99,Pima,AZ,-110.88,32.1192,2089.0,Open,428.0,222.6,115.0,,71012154.0,24081968.0,738455.0,1.129933696,,,63.55,66.0,-2.450000000000003
100,Pima,AZ,-111.283295,32.410302,2239.0,Open,415.0,,,,100320234.0,2974394.0,432942.0,,,,224.85,216.0,8.849999999999994
101,Mohave,AZ,-114.512929,35.022082,2024.0,Open,,,,,7901352.0,1850219.0,96971.0,,,,62.4,1.0,61.4
103,Maricopa,AZ,-112.481,33.678,2108.0,Open,792.0,133.3,,127.0,145287166.0,23923224.0,1384896.0,,0.3886379628800001,,87.63,85.0,2.6299999999999955
104,Navajo,AZ,-110.3347,34.998,2331.0,Open,275.0,65.0,,,34125579.0,3671057.0,94375.0,,,,322.7,308.0,14.699999999999989
106,Santa Cruz,AZ,-111.0186,31.5194,2041.0,Open,25.0,25.0,,188.0,1929119.0,1042941.0,49000.0,,0.10789696,,18.09,18.0,0.08999999999999986
107,Maricopa,AZ,-111.778214,33.508775,2032.0,Open,144.0,138.5,,,22996457.0,15340220.0,513491.0,,,,14.91,9.0,5.91
110,Yuma,AZ,-114.61613,32.5689,2075.0,Open,,19.5,,,22050000.0,3639904.0,229252.0,,,,80.31,52.0,28.310000000000002
111,Maricopa,AZ,-112.6371,33.2222,2163.0,Open,,101.0,,,29004965.0,15284114.0,827121.0,,,,16.59,140.0,-123.41
112,Maricopa,AZ,-112.66485,33.178917,2100.0,Open,368.0,94.0,,,29510617.0,14553069.0,1023923.0,,,,14.61,77.0,-62.39
119,Imperial,CA,-115.526,32.858,2076.0,Open,162.0,,,,13952388.0,5162756.0,116192.0,,,,75.65,53.0,22.650000000000006
120,Alameda,CA,-121.65667,37.75,2051.0,Open,426.0,237.3,300.0,175.0,119861783.0,66793617.0,1550005.0,2.93387904,0.953338512,0.6750586854460094,34.24,28.0,6.240000000000002
121,Modoc,CA,-120.56556,41.45861,2028.0,Open,27.5,,,,,33872.0,0.0,,,,,5.0,
123,Fresno,CA,-120.1457,36.66171,2044.0,Open,367.0,246.0,,100.0,26838800.0,16376523.0,755301.0,,0.56473728,,13.85,21.0,-7.15
125,Shasta,CA,-122.283334,40.45,2075.0,Open,165.0,76.2,,,14872511.0,5368341.0,201140.0,,,,47.25,52.0,-4.75
127,Los Angeles,CA,-118.14994,34.56768,2034.0,Open,123.0,82.7,,147.0,23693955.0,11809023.0,870888.0,,0.27908352191999997,,13.65,11.0,2.6500000000000004
134,Kings,CA,-120.11535,36.01195,2108.0,Open,123.2,56.2,,,20803536.0,4902871.0,236966.0,,,,67.1,85.0,-17.900000000000006
136,Riverside,CA,-117.11758,33.95349,2050.0,Open,141.0,109.6,,140.0,27562500.0,17098694.0,872212.0,,0.3522491392,,12.0,27.0,-15.0
139,Kern,CA,-118.75847,35.34387,2042.0,Open,229.0,114.5,200.0,100.0,48847299.0,11902329.0,554148.0,1.05142144,0.26285536,0.75,66.67,19.0,47.67
141,San Bernardino,CA,-117.02,34.83389,2071.0,Open,331.0,43.4,,75.0,50431080.0,3005149.0,90291.0,,0.074724384,,525.26,48.0,477.26
142,Lassen,CA,-120.55508,40.35281,2032.0,Open,45.0,,,,,351480.0,22457.0,,,,,9.0,
146,Mono,CA,-118.4686,37.81825,2027.0,Open,10.0,,,,,100000.0,28605.0,,,,,4.0,
151,Merced,CA,-120.97235,37.03949,2054.0,Open,,39.8,,,11842027.0,2617870.0,197952.0,,,,46.6,31.0,15.600000000000001
152,Inyo,CA,-118.40007,37.32961,2064.0,Open,69.0,,,,,250000.0,12448.0,,,,,41.0,
155,Riverside,CA,-114.62673,33.70478,2047.0,Open,78.0,78.0,,40.0,2000000.0,732963.0,26040.0,,0.071625216,,48.66,24.0,24.659999999999997
158,Kern,CA,-117.6475,34.99028,2048.0,Open,14.0,14.0,50.0,40.0,557000.0,458500.0,3000.0,0.01606976,0.012855808,0.19999999999999996,32.83,25.0,7.829999999999998
159,San Diego,CA,-116.293,33.248,2046.0,Open,19.0,,,,,107389.0,5268.0,,,,,23.0,
164,Santa Cruz,CA,-121.81142,36.91738,2030.0,Open,,60.0,100.0,,6026606.0,4399866.0,92150.0,,,,17.65,7.0,10.649999999999999
165,Los Angeles,CA,-118.31192,34.21018,2084.0,Open,49.0,48.0,,,5391225.0,2000000.0,40722.0,,,,83.28,61.0,22.28
167,Los Angeles,CA,-118.70953,34.14862,2040.0,Open,416.0,315.1,,120.0,30930000.0,28545543.0,377710.0,,0.8680425216000001,,6.31,17.0,-10.690000000000001
168,Imperial,CA,-115.54565,32.6764,2077.0,Open,40.1,,,,,500000.0,1541.0,,,,,54.0,
169,San Bernardino,CA,-117.221,34.08861,2042.0,Open,65.0,,,,4495166.0,3050429.0,64323.0,,,,22.46,19.0,3.460000000000001
171,San Luis Obispo,CA,-120.7343,35.77509,2031.0,Open,150.0,,,,,865443.0,,,,,,8.0,
179,Plumas,CA,-121.13833,40.32667,2024.0,Open,27.8,,,,,50000.0,170.0,,,,,1.0,
181,San Luis Obispo,CA,-120.63028,35.52333,2039.0,Open,77.1,,,,4560556.0,2476037.0,90930.0,,,,22.92,16.0,6.920000000000002
184,Los Angeles,CA,-118.64661,34.42806,2047.0,Open,271.0,227.0,,100.0,60715392.0,45906797.0,2019000.0,,0.52111936,,7.33,24.0,-16.67
185,Fresno,CA,-119.685,36.943,2055.0,Open,76.6,,,,5116998.0,2057572.0,72129.0,,,,42.42,32.0,10.420000000000002
187,Santa Barbara,CA,-120.44256,34.65271,2045.0,Open,45.0,39.0,,,22079782.0,2411123.0,40703.0,,,,483.22,22.0,461.22
188,San Luis Obispo,CA,-120.532,35.663,2067.0,Open,65.0,37.0,,,5066100.0,1412595.0,49647.0,,,,73.59,44.0,29.590000000000003
191,Santa Cruz,CA,-122.10608,36.97602,2061.0,Open,67.0,43.3,,,6290595.0,3024722.0,55880.0,,,,58.44,38.0,20.439999999999998
196,Napa,CA,-122.534,38.5848,2053.0,Open,44.0,36.2,,,2886830.0,1793496.0,175449.0,,,,6.23,30.0,-23.77
199,San Luis Obispo,CA,-120.59579,35.1873,2064.0,Open,88.0,88.0,,,19123273.0,6824315.0,180533.0,,,,68.13,41.0,27.129999999999995
208,Kings,CA,-120.00852,35.95942,2083.0,Open,,43.4,,,18734615.0,5203384.0,460753.0,,,,29.37,60.0,-30.63
211,Riverside,CA,-115.40867,33.77754,2087.0,Open,7.0,,,,,23000.0,43.0,,,,,64.0,
219,Lake,CA,-122.60083,38.95333,2030.0,Open,31.0,,,,,2574266.0,63767.0,,,,,7.0,
221,Kern,CA,-117.95627,34.95605,2028.0,Open,64.0,,,,,300000.0,8928.0,,,,,5.0,
222,Riverside,CA,-117.46786,33.79923,2061.0,Open,468.0,201.4,60.0,,191734774.0,58104216.0,3430817.0,0.644626944,,,38.95,38.0,0.9500000000000028
225,Madera,CA,-120.1991,37.06468,2048.0,Open,121.2,85.0,,75.0,15926354.0,5250707.0,222142.0,,0.1463496,,48.06,25.0,23.060000000000002
226,Stanislaus,CA,-121.13633,37.38816,2050.0,Open,375.0,71.0,80.0,,15436827.0,4741888.0,263762.0,0.688704,,,40.55,27.0,13.549999999999997
227,San Joaquin,CA,-120.94489,38.0371,2092.0,Open,750.0,124.0,,,82797309.0,6179823.0,272299.0,,,,281.37,69.0,212.37
229,San Bernardino,CA,-116.66233,35.26589,2405.0,Open,422.0,,,,,7577621.0,6809.0,,,,,382.0,
230,San Joaquin,CA,-121.1833,37.874624,2036.0,Open,,157.0,,,32882079.0,30171481.0,1222332.0,,,,2.22,13.0,-10.78
232,Orange,CA,-117.70947,33.72053,2053.0,Open,534.0,259.6,400.0,250.0,174549200.0,62128414.0,2243487.0,4.90357248,1.4898963200000002,0.6961610486891385,50.11,30.0,20.11
240,Santa Clara,CA,-121.90139,37.21139,2047.0,Open,115.0,92.0,100.0,,19927248.0,10837723.0,287792.0,0.2640032,,,31.58,24.0,7.579999999999998
248,Merced,CA,-120.49778,37.39389,2055.0,Open,255.0,148.0,,,26160242.0,8214355.0,376785.0,,,,47.63,32.0,15.630000000000003
251,Imperial,CA,-115.67611,33.41528,2027.0,Open,40.0,,,,,50000.0,335.0,,,,,4.0,
254,Inyo,CA,-118.17586,36.7884,2038.0,Open,40.0,,,,,100000.0,525.0,,,,,15.0,
258,San Benito,CA,-121.324,36.825,2028.0,Open,44.0,33.0,,,3130537.0,666000.0,94647.0,,,,26.04,5.0,21.04
259,Monterey,CA,-121.40667,36.53167,2066.0,Open,80.0,69.0,,35.0,14432470.0,3797918.0,240369.0,,0.055440672,,44.24,43.0,1.240000000000002
261,Contra Costa,CA,-121.93611,38.00472,2068.0,Open,244.0,103.5,400.0,191.0,74562762.0,23368928.0,1170789.0,2.24058368,0.4538215008,0.797453893442623,43.73,45.0,-1.2700000000000031
265,Sacramento,CA,-121.1989,38.52099,2098.0,Open,,295.0,,,117420098.0,33349368.0,910893.0,,,,92.29,75.0,17.290000000000006
266,Santa Clara,CA,-121.67109,37.18507,2063.0,Open,311.0,83.2,338.0,,29446637.0,12394738.0,503068.0,2.4131729024,,,33.9,40.0,-6.100000000000001
267,Sacramento,CA,-121.378,38.528,2023.0,Open,,157.0,,,3618633.0,1453000.0,222671.0,,,,9.73,0.0,9.73
269,Riverside,CA,-116.99722,33.88389,2050.0,Open,144.6,123.4,,100.0,27562500.0,13235956.0,632863.0,,0.283286912,,22.64,27.0,-4.359999999999999
270,Los Angeles,CA,-118.1165,34.7474,2088.0,Open,209.0,123.9,,,21777428.0,8626070.0,187958.0,,,,69.97,65.0,4.969999999999999
271,San Bernardino,CA,-116.38152,34.24048,2072.0,Open,92.0,44.0,,60.0,8195734.0,2785643.0,72370.0,,0.060605952,,74.76,49.0,25.760000000000005
272,San Diego,CA,-117.41921,33.36444,2059.0,Open,21.0,,,,6274916.0,2149895.0,23479.0,,,,175.69,36.0,139.69
278,Inyo,CA,-118.03495,36.59421,2087.0,Open,25.0,,,,,100000.0,2494.0,,,,,64.0,
285,Mariposa,CA,-120.0058,37.50432,2081.0,Open,40.0,,,,,720000.0,11331.0,,,,,58.0,
291,Riverside,CA,-116.00306,33.57194,,Open,19.0,,,,,72000.0,2864.0,,,,,,
293,San Bernardino,CA,-117.43,34.14333,2045.0,Open,410.0,409.0,300.0,150.0,74468246.0,26045900.0,1080973.0,2.8236864,1.40839968,0.501219512195122,44.8,22.0,22.799999999999997
297,Kern,CA,-118.13881,34.99336,2123.0,Open,253.0,27.0,100.0,40.0,45000000.0,979470.0,11400.0,0.58080704,0.024793344000000002,0.9573122529644269,3861.45,100.0,3761.45
298,Monterey,CA,-121.76667,36.71333,2132.0,Open,315.0,113.6,270.0,120.0,56885736.0,13569947.0,518791.0,1.95247584,0.3129470976,0.8397178130511463,83.49,109.0,-25.510000000000005
301,Butte,CA,-121.72929,39.67425,2047.0,Open,140.0,98.0,,,11697222.0,7201773.0,181699.0,,,,24.74,24.0,0.7399999999999984
305,Santa Clara,CA,-121.94108,37.45897,2033.0,Open,298.0,235.0,72.0,,39006446.0,34544529.0,1325739.0,0.4925611008,,,3.37,10.0,-6.63
306,Imperial,CA,-115.49167,33.27111,2041.0,Open,100.0,,,,,50000.0,507.0,,,,,18.0,
308,San Joaquin,CA,-121.10194,38.097,2090.0,Open,185.0,55.0,,,30898996.0,4366706.0,162069.0,,,,163.71,67.0,96.71000000000001
310,Riverside,CA,-116.0815,33.439,2045.0,Open,23.3,,,,,100000.0,4.0,,,,,22.0,
312,Orange,CA,-117.84361,33.93361,2036.0,Open,453.0,420.0,415.0,235.0,96736556.0,90657406.0,2127492.0,4.315763616,2.26583616,0.4749860368626825,2.86,13.0,-10.14
316,San Diego,CA,-117.005,32.604,2028.0,Open,230.0,230.0,,,49177036.0,44381086.0,1401321.0,,,,3.42,5.0,-1.58
317,San Mateo,CA,-122.412,37.499,2042.0,Open,191.0,160.0,300.0,226.0,44107549.0,37218869.0,858559.0,1.31542464,0.830117888,0.3689354275741711,8.02,19.0,-10.98
322,Los Angeles,CA,-118.309585,33.329985,2027.0,Open,5.6,,,,,,,,,,,4.0,
329,Solano,CA,-121.97778,38.22333,2059.0,Open,190.0,148.0,,,,21758726.0,1141727.0,,,,,36.0,
330,Orange,CA,-117.62491,33.48654,2067.0,Open,697.0,240.0,430.0,210.0,98159518.0,24281070.0,626282.0,6.880382528,1.15702272,0.8318374428614327,117.96,44.0,73.96
332,Mono,CA,-119.06528,37.90694,2036.0,Open,40.0,,,,,55800.0,224.0,,,,,13.0,
335,Solano,CA,-121.83164,38.31497,2049.0,Open,256.0,122.8,80.0,,20391489.0,8495400.0,611189.0,0.470155264,,,19.46,26.0,-6.539999999999999
336,Yuba,CA,-121.3925,39.07171,2084.0,Open,225.0,68.1,100.0,,27629965.0,8345505.0,586723.0,0.516528,,,32.87,61.0,-28.130000000000003
340,Marin,CA,-122.57922,38.1661,2034.0,Open,,222.5,,,23589037.0,16709696.0,318665.0,,,,21.59,11.0,10.59
341,Kern,CA,-117.73755,35.60254,2042.0,Open,91.0,78.0,70.0,50.0,11167924.0,3013520.0,58615.0,0.146234816,0.08953152,0.3877551020408163,139.12,19.0,120.12
343,Calaveras,CA,-120.8418,38.03535,2032.0,Open,57.0,,,,,470515.0,47825.0,,,,,9.0,
345,Imperial,CA,-115.98611,33.22944,2038.0,Open,4.0,,,,,50000.0,1264.0,,,,,15.0,
347,Los Angeles,CA,-118.538887,32.964782,2037.0,Open,15.0,,,,,,,,,,,14.0,
350,San Diego,CA,-117.54028,33.39667,2257.0,Open,21.0,,,,,238200.0,1758.0,,,,,234.0,
351,San Bernardino,CA,-117.2133,34.0117,2039.0,Open,127.0,75.1,250.0,50.0,14578112.0,7000336.0,340289.0,0.7288784,0.08620278399999999,0.8817322834645669,22.27,16.0,6.27
352,Santa Barbara,CA,-120.3831,34.9525,2028.0,Open,265.0,118.0,,,10010569.0,6242512.0,150944.0,,,,24.96,5.0,19.96
355,Los Angeles,CA,-118.0171,33.9799,2048.0,Open,132.0,102.0,,,9738383.0,4034215.0,91248.0,,,,62.51,25.0,37.51
356,Los Angeles,CA,-118.19673,34.15188,2025.0,Open,440.0,211.0,375.0,300.0,,34871691.0,531068.0,3.787872,1.45316544,0.6163636363636364,,2.0,
357,Kern,CA,-119.41085,35.51042,2056.0,Open,135.0,91.5,70.0,50.0,24139435.0,3164654.0,141456.0,0.21694176,0.10502736,0.5158730158730158,148.28,33.0,115.28
360,Inyo,CA,-116.24444,35.9708,2052.0,Open,20.0,,,,,15708.0,0.0,,,,,29.0,
361,Lassen,CA,-120.15889,40.16278,2082.0,Open,40.0,,,,199500.0,153739.0,125.0,,,,366.09,59.0,307.09
362,Ventura,CA,-118.79544,34.29454,2062.0,Open,371.0,143.7,,,138635608.0,35129489.0,2119324.0,,,,48.84,39.0,9.840000000000003
364,Sonoma,CA,-122.74222,38.29694,2039.0,Open,175.0,135.4,165.0,150.0,19593354.0,16244221.0,428946.0,0.6628776,0.466252608,0.29662337662337657,7.81,16.0,-8.190000000000001
370,Colusa,CA,-122.54461,39.36037,2064.0,Open,3.3,,,,,10000.0,386.0,,,,,41.0,
372,Los Angeles,CA,-118.50294,34.32352,2037.0,Open,,350.6,200.0,,109393338.0,70526847.0,2693340.0,,,,14.43,14.0,0.4299999999999997
373,San Diego,CA,-117.02667,32.8496,2091.0,Open,324.0,153.0,250.0,213.0,41611821.0,33475005.0,1162635.0,1.8595008,0.7481391552,0.5976666666666667,7.0,68.0,-61.0
374,Kern,CA,-119.45314,35.20377,2064.0,Open,85.0,40.0,120.0,60.0,5910000.0,1627135.0,34849.0,0.23415936,0.05509632,0.7647058823529412,122.9,41.0,81.9
375,Santa Barbara,CA,-120.12417,34.47694,2027.0,Open,118.0,106.1,,,14001750.0,11578793.0,173477.0,,,,13.97,4.0,9.97
376,Tulare,CA,-119.10583,36.02111,2024.0,Open,,71.0,45.0,,5911242.0,3749462.0,137615.0,,,,15.71,1.0,14.71
377,Inyo,CA,-116.18246,35.85071,2050.0,Open,29.0,,,,,48707.0,0.0,,,,,27.0,
378,Kern,CA,-118.34031,35.12362,2023.0,Open,32.0,32.0,80.0,60.0,2078000.0,1649600.0,60150.0,0.058769408,0.044077056,0.25,7.12,0.0,7.12
379,Tehama,CA,-122.29742,40.196,2046.0,Open,120.0,37.8,,80.0,3606399.0,1953094.0,62553.0,,0.0694213632,,26.43,23.0,3.4299999999999997
381,Ventura,CA,-118.99806,34.4025,2032.0,Open,86.0,38.6,435.0,,18900476.0,10623755.0,393373.0,0.858813888,,,21.04,9.0,12.04
390,San Bernardino,CA,-116.05,34.133334,2066.0,Open,69.0,,,,,612000.0,5947.0,,,,,43.0,
395,Santa Barbara,CA,-120.52418,34.7197,2064.0,Open,,46.0,,60.0,1089724.0,896374.0,8482.0,,0.063360768,,22.8,41.0,-18.2
396,Alameda,CA,-121.72333,37.75333,2034.0,Open,222.0,204.2,,,29915008.0,28742743.0,553516.0,,,,2.12,11.0,-8.879999999999999
397,San Bernardino,CA,-117.27,34.59333,2047.0,Open,341.0,82.0,,100.0,56044792.0,12635042.0,401975.0,,0.18824576,,107.99,24.0,83.99
