,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Volume Design,Volume Current,Percent Available,Years to Fill
1236,Cottonwood,MN,-95.203222,43.947337,,Open,,,,,,,,,,,
1237,Crow Wing,MN,-94.0683,46.4305,2025.0,Open,22.5,,,,,1783717.0,53177.0,,,,
1238,Kanabec,MN,-93.35722,45.84607,2025.0,Open,,28.3,182.0,80.0,3006874.0,2624936.0,115070.0,,2264.0,,3.3191796297905625
1239,Sherburne,MN,-93.56445,45.37721,2046.0,Open,139.0,119.5,,,23660345.0,13975903.0,473522.0,,,,20.45193676323381
1243,Kandiyohi,MN,-95.0092,45.275,2054.0,Open,80.0,,,,,1300000.0,27000.0,,,,
1246,Lyon,MN,-95.9,44.347,2085.0,Open,,48.0,,,2359523.0,1801644.0,63200.0,,,,8.827199367088607
1247,Kittson,MN,-96.816449,48.783308,,Open,90.0,,,,,,,,,,
1248,Morrison,MN,-94.303,45.9337,2052.0,Open,,38.8,,,2574268.0,1491792.0,37837.0,,,,28.60892776911489
1249,Nobles,MN,-95.756084,43.672715,,Open,,,,,,,,,,,
1250,Olmsted,MN,-92.588,44.046,2065.0,Open,,8.0,,,861404.0,512702.0,2662.0,,,,130.99248685199098
1251,Dakota,MN,-93.05711,44.77917,2027.0,Open,192.0,187.4,,96.0,26951095.0,23081027.0,590197.0,,17990.4,,6.557247834197734
1252,Polk,MN,-96.3836,47.7777,,Open,,,,,,600000.0,22434.0,,,,
1253,Rice,MN,-93.2266,44.3777,2037.0,Open,,68.1,,,2712907.0,1771554.0,44694.0,,,,21.06217836846109
1256,McLeod,MN,-94.24837,44.81586,2128.0,Open,,93.3,,80.0,24093884.0,8326861.0,161905.0,,7464.0,,97.38441061116086
1258,St. Louis,MN,-92.485227,47.527434,,Open,,,,,,,,,,,
1259,Steele,MN,-93.1058,43.952,2031.0,Open,,,,,1604574.0,1370628.0,41746.0,,,,5.60403391941743
1268,Lewis,MO,-91.523,40.016,2032.0,Open,34.0,29.2,,76.0,3642956.0,2553820.0,78083.0,,2219.2,,13.948439481065021
1270,Wright,MO,-92.4585,37.2398,2031.0,Open,82.0,61.6,125.0,80.0,,7640213.0,311168.0,10250.0,4928.0,0.519219512195122,
1276,Pettis,MO,-93.287,38.7253,2043.0,Open,83.0,51.4,150.0,60.0,11737469.0,7371814.0,617137.0,12450.0,3084.0,0.752289156626506,7.074045147187739
1279,St. Louis,MO,-90.46,38.743,2086.0,Open,,110.5,200.0,,94181437.0,25401472.0,975065.0,,,,70.5388512560701
1281,Franklin,MO,-91.057179,38.587159,,Open,35.0,25.0,,,,,32268.0,,,,
1283,Boone,MO,-92.2541,39.0144,2029.0,Open,107.0,91.0,120.0,100.0,6780075.0,5294235.0,190656.0,12840.0,9100.0,0.29127725856697817,7.793303121852971
1284,Jackson,MO,-94.388472,39.141087,2044.0,Open,134.0,94.4,,129.0,22795808.0,10830090.0,558252.0,,12177.6,,21.434259080128687
1288,Pike,MO,-91.2182,39.4214,2079.0,Open,229.2,56.0,100.0,50.0,20093438.0,2738083.0,227223.0,22920.0,2800.0,0.8778359511343805,76.38027400395207
1304,Washington,MO,-90.77,38.172,2060.0,Open,271.0,38.0,,,11979941.0,3633985.0,212442.0,,,,39.28580977396184
1306,Cole,MO,-92.1,38.5435,2030.0,Open,77.0,71.8,,84.0,7444124.0,5926882.0,184471.0,,6031.2,,8.224826666522109
1315,Stoddard,MO,-89.9412,36.832771,2051.0,Open,,,,,13111605.0,7013989.0,222696.0,,,,27.3808959298775
1316,Macon,MO,-92.5387,39.7341,2096.0,Open,,61.0,150.0,,16024341.0,6199628.0,147944.0,,,,66.40832341967231
1339,Crawford,MO,-91.429348,38.120802,2043.0,Open,,,,,2757703.0,1336627.0,91379.0,,,,15.551450552096215
1340,Barton,MO,-94.311,37.551,2039.0,Open,178.0,130.2,,,21583377.0,13169623.0,540456.0,,,,15.567879716387644
1348,Johnson,MO,-93.66711,38.72586,2038.0,Open,69.0,45.4,,,6471338.0,4205799.0,129797.0,,,,17.454478917078205
1350,Greene,MO,-93.35,37.385,2112.0,Open,169.0,135.9,90.0,50.0,33029634.0,8200881.0,335704.0,15210.0,6795.0,0.5532544378698225,73.9602536758573
1352,Buchanan,MO,-94.773,39.6714,2070.0,Open,90.0,87.0,100.0,100.0,10854146.0,5536825.0,213192.0,9000.0,8700.0,0.033333333333333326,24.94146590866449
1370,Washington,MS,-90.9606,33.4063,2213.0,Open,180.2,65.7,113.0,,22759144.0,6778618.0,118944.0,20362.6,,,134.35335956416466
1372,Pearl River,MS,-89.6017,30.7073,2115.0,Open,100.0,,,84.0,8781653.0,2961242.0,59328.0,,,,98.10563309061489
1373,Madison,MS,-90.06647,32.597,2023.0,Open,139.0,10.0,,85.0,,1283589.0,39788.0,,850.0,,
1375,Winston,MS,-89.055,33.1665,2115.0,Open,40.0,,,,3116800.0,262130.0,21950.0,,,,130.05330296127562
1376,Scott,MS,-89.3723,32.2354,2043.0,Open,149.0,88.7,,,20372068.0,9412725.0,514819.0,,,,21.287759387279802
1378,Oktibbeha,MS,-88.6724,33.5283,2176.0,Open,265.0,40.0,175.0,100.0,27436256.0,3574170.0,167344.0,46375.0,4000.0,0.9137466307277629,142.59301797494982
1382,Jefferson,MS,-91.144,31.652,2332.0,Open,,,,,16728135.0,146370.0,19700.0,,,,841.7139593908629
1383,Kemper,MS,-88.5726,32.7982,2029.0,Open,22.4,,,,267510.0,210185.0,44152.0,,,,1.2983556803768799
1384,Leflore,MS,-90.2078,33.4456,2029.0,Open,56.0,35.6,75.0,75.0,2688599.0,2368281.0,77288.0,4200.0,2670.0,0.3642857142857143,4.144472621881793
1385,Madison,MS,-90.24325,32.4088,2045.0,Open,150.0,149.3,125.0,,20509099.0,18037275.0,181688.0,18750.0,,,13.604773017480516
1386,Jackson,MS,-88.5325,30.50414,2050.0,Open,49.0,,,,3673605.0,3076631.0,29424.0,,,,20.288675910821098
1387,Tippah,MS,-88.93775,34.9477,2024.0,Open,75.0,54.2,125.0,85.0,,7185096.0,553971.0,9375.0,4607.0,0.5085866666666667,
1388,Harrison,MS,-89.2669,30.427,2034.0,Open,176.0,129.0,,76.0,17163864.0,12575638.0,363458.0,,9804.0,,12.623813480512192
1389,Perry,MS,-89.0938,31.4056,2038.0,Open,49.0,32.0,,67.0,6389789.0,3250511.0,184908.0,,2144.0,,16.977513141670453
1390,Lauderdale,MS,-88.6102,32.3754,2057.0,Open,100.0,54.9,80.0,,7356656.0,4141553.0,91519.0,8000.0,,,35.13044285885991
1391,Adams,MS,-91.3954,31.3576,2097.0,Open,80.0,50.6,,,8802719.0,3173428.0,82315.0,,,,68.38718338091478
1393,Chickasaw,MS,-88.9921,33.9585,2520.0,Open,238.0,86.0,120.0,,35116556.0,6603043.0,78473.0,28560.0,,,363.3544403807679
1394,Marshall,MS,-89.650139,34.993111,2053.0,Open,110.0,,,,9165303.0,212418.0,178902.0,,,,50.04351544420968
1395,Pontotoc,MS,-89.058313,34.295073,2063.0,Open,207.0,49.8,,110.0,12718815.0,5254150.0,273868.0,,5478.0,,27.256433756408196
1396,Tunica,MS,-90.2483,34.7877,2068.0,Open,147.0,68.0,,,25298854.0,7729342.0,437492.0,,,,40.15961891874594
1397,Beaverhead,MT,-112.718,45.22,,Open,,,,,,,,,,,
1398,Yellowstone,MT,-108.545,45.7254,2050.0,Open,250.0,140.0,150.0,,18838130.0,8501104.0,207373.0,37500.0,,,49.84750184450242
1399,Silver Bow,MT,-112.615,46.0233,,Open,,,,,,,,,,,
1401,Dawson,MT,-104.6929,47.1035,,Open,,,,,,,,,,,
1402,Big Horn,MT,-107.524,45.7355,,Open,,,,,,,,,,,
1403,Phillips,MT,-107.8668,48.3222,,Open,,,,,,,,,,,
1404,Toole,MT,-111.8358,48.5097,,Open,,,,,,,,,,,
1405,Roosevelt,MT,-105.6615,48.0993,,Open,,,,,,,,,,,
1406,Fallon,MT,-104.205,46.3016,,Open,,,,,,,,,,,
1407,Daniels,MT,-105.41,48.7765,,Open,,,,,,,,,,,
1408,Powell,MT,-112.7079,46.3657,,Open,,,,,,,,,,,
1409,Flathead,MT,-114.344,48.3117,2060.0,Open,140.0,56.0,,,12000000.0,3621885.0,116146.0,,,,72.13433953816748
1410,Gallatin,MT,-111.41042,45.87462,2026.0,Open,,42.0,,,2651432.0,2435789.0,186221.0,,,,1.1579950703733737
1411,Cascade,MT,-111.189,47.62667,2054.0,Open,90.0,37.0,40.0,40.0,8255356.0,3630072.0,190187.0,3600.0,1480.0,0.5888888888888889,24.319664330369584
1412,Hill,MT,-109.586,48.5405,,Open,,,,,,,,,,,
1414,Lewis and Clark,MT,-111.878,46.6719,2110.0,Open,,,,,,1166014.0,49829.0,,,,
1415,Lincoln,MT,-115.5618,48.426,,Open,,,,,,,,,,,
1416,Custer,MT,-105.7868,46.4102,,Open,,,,,,,,,,,
1417,Missoula,MT,-114.011,46.9028,2069.0,Open,,81.2,120.0,,31564496.0,8892569.0,301393.0,,,,75.22380081820081
1418,Pondera,MT,-111.985,48.302,,Open,,,,,,,,,,,
1420,Richland,MT,-104.2762,47.8509,,Open,,,,,,,,,,,
1421,Rosebud,MT,-106.665,45.958,,Open,,,,,,,,,,,
1423,Sheridan,MT,-104.592,48.7562,,Open,,,,,,,,,,,
1424,Liberty,MT,-110.948,48.5043,,Open,,,,,,,,,,,
1425,Valley,MT,-106.565,48.1893,,Open,,,,,,,,,,,
1426,Lewis and Clark,MT,-111.90459,46.56937,2086.0,Open,,,,,3092529.0,253543.0,27473.0,,,,103.33731299821643
1427,Alamance,NC,-79.29667,35.93083,2086.0,Open,90.0,34.3,,,,2399036.0,132429.0,,,,
1432,Anson,NC,-80.257,34.973,2029.0,Open,,40.4,,,16219527.0,8885993.0,965265.0,,,,7.597430757356788
1433,Ashe,NC,-81.368,36.521,2059.0,Open,,,,,,438069.0,17963.0,,,,
1437,Catawba,NC,-81.31,35.6077,2075.0,Open,364.5,134.0,,,16537500.0,5611701.0,215830.0,,,,50.62224435898624
1440,Buncombe,NC,-82.644,35.7272,2085.0,Open,100.0,56.0,100.0,70.0,9733729.0,3063724.0,153304.0,10000.0,3920.0,0.608,43.50835594635495
1446,Cabarrus,NC,-80.6826,35.3457,2034.0,Open,,276.0,60.0,,40798765.0,36465817.0,1106689.0,,,,3.9152354455497433
1449,Cherokee,NC,-83.91,35.1786,2042.0,Open,,,,,,,,,,,
1450,Stanly,NC,-80.152665,35.305596,2055.0,Open,,122.4,,,4075884.0,2544869.0,54508.0,,,,28.087895354810303
1452,Guilford,NC,-79.73,36.107,2129.0,Open,272.0,272.0,85.0,50.0,11528817.0,9685166.0,100305.0,23120.0,13600.0,0.4117647058823529,18.38044962863267
1454,Cleveland,NC,-81.477,35.3287,2080.0,Open,,114.5,,,14001750.0,5288166.0,161896.0,,,,53.82210801996343
1458,Cumberland,NC,-78.861852,35.067907,2025.0,Open,,126.3,50.0,,,5320761.0,181954.0,,,,
1461,Davidson,NC,-80.1756,35.8324,2048.0,Open,309.0,78.7,,,9644209.0,3801229.0,170896.0,,,,34.19026776519053
1464,Bertie,NC,-77.071925,36.112286,2041.0,Open,,96.1,,,24046822.0,13568938.0,554183.0,,,,18.90690259354762
1466,Edgecombe,NC,-77.565,35.822,2044.0,Open,,57.9,50.0,50.0,2039000.0,1800000.0,13500.0,,2895.0,,17.703703703703702
1468,Caldwell,NC,-81.593,35.915,2039.0,Open,,55.0,,,10877998.0,6758202.0,378571.0,,,,10.882492319802626
1470,Gaston,NC,-81.1718,35.3886,2035.0,Open,400.0,72.1,,50.0,5452170.0,4617474.0,198308.0,,3604.9999999999995,,4.209088892026545
1473,Randolph,NC,-79.752,35.746,2043.0,Open,190.0,,,,15949356.0,2667557.0,675976.0,,,,19.648329230623574
1475,Forsyth,NC,-80.2806,36.1869,2036.0,Open,,160.0,,,15404259.0,12670349.0,293684.0,,,,9.309019217934923
1478,Haywood,NC,-82.99866,35.66343,2045.0,Open,21.5,13.0,,45.0,6745431.0,2066308.0,156706.0,,585.0,,29.85924597654206
1482,Iredell,NC,-80.8244,35.7768,2038.0,Open,,58.0,,,8636792.0,5839802.0,233740.0,,,,11.966244545221185
1484,Cleveland,NC,-81.5013,35.2096,,Open,,,,,,,,,,,
1485,Johnston,NC,-78.4295,35.5117,2057.0,Open,239.5,108.2,,,16688064.0,4339132.0,161775.0,,,,76.3339947457889
1487,Guilford,NC,-79.9401,35.9603,2037.0,Open,40.0,,,,3665846.0,3218717.0,125610.0,,,,3.5596608550274658
1490,Lincoln,NC,-81.352521,35.430224,2035.0,Open,,41.8,,,1819125.0,1408005.0,47844.0,,,,8.592927012791572
1491,Macon,NC,-83.38,35.202,2046.0,Open,,,,,1569675.0,684342.0,32231.0,,,,27.46836896155875
1499,New Hanover,NC,-77.99035,34.31948,2051.0,Open,,191.0,160.0,90.0,8025267.0,6647495.0,364006.0,,17190.0,,3.785025521557337
1503,Onslow,NC,-77.5309,34.7872,2039.0,Open,,56.0,,,,4023007.0,137618.0,,,,
1515,Robeson,NC,-78.908,34.79,2041.0,Open,,66.1,,,4273533.0,3402674.0,153072.0,,,,5.6892116128357895
1516,Rockingham,NC,-79.849585,36.373554,2046.0,Open,142.0,,80.0,,3668146.0,3367243.0,108213.0,11360.0,,,2.7806548196612235
1517,Rowan,NC,-80.55715,35.75701,2082.0,Open,,51.0,,18.0,9043808.0,3139549.0,180394.0,,918.0,,32.729796999900216
1521,Sampson,NC,-78.457,34.982,2041.0,Open,,134.4,,,49123140.0,25983708.0,1738735.0,,,,13.308199351827621
1525,Wake,NC,-78.85,35.675,2100.0,Open,179.0,80.0,,40.0,18317699.0,6284042.0,557181.0,,3200.0,,21.59739294771358
1527,Surry,NC,-80.5707,36.4417,2042.0,Open,51.0,,,,,2836909.0,69557.0,,,,
1532,Transylvania,NC,-82.844,35.122,2031.0,Open,30.0,14.0,70.0,,790641.0,567061.0,25310.0,2100.0,,,8.83366258395891
1533,Craven,NC,-77.22612,35.16296,2049.0,Open,101.0,58.0,230.0,210.0,8438421.0,5361032.0,236426.0,23230.0,12180.0,0.47567800258286697,13.016288394677405
1535,Person,NC,-78.832,36.324,2057.0,Open,,50.2,,,19169386.0,5813965.0,302834.0,,,,44.10145822463792
1537,Onslow,NC,-77.322,34.688,2045.0,Open,45.0,,55.0,,2724278.0,1859129.0,26662.0,2475.0,,,32.44876603405596
1538,Montgomery,NC,-79.961,35.3415,2055.0,Open,,107.0,,,24716207.0,16419243.0,551527.0,,,,15.04362252437324
1542,Wayne,NC,-78.0647,35.2908,2050.0,Open,,120.5,,,6904174.0,4036337.0,137119.0,,,,20.914949788140227
1546,Wilkes,NC,-80.9869,36.2093,2034.0,Open,20.0,12.0,,50.0,1845837.0,1615262.0,63020.0,,600.0,,3.658759124087591
1550,Burleigh,ND,-100.7,46.835,,Open,,,,,,,,,,,
1551,Cass,ND,-96.8613,46.8835,2045.0,Open,115.0,63.4,,80.0,11796627.0,7339860.0,195485.0,,5072.0,,22.79851139473617
1552,Ward,ND,-101.352,48.2113,2033.0,Open,,12.0,,30.0,1860000.0,276396.0,41788.0,,360.0,,37.896142433234424
1553,Sargent,ND,-97.6952,46.2401,2074.0,Open,73.0,63.5,,60.0,7379796.0,2943153.0,72984.0,,3810.0,,60.78925517921736
1554,Stark,ND,-102.696955,46.854376,2042.0,Open,,,,,,,,,,,
1555,Grand Forks,ND,-97.117604,47.980171,2093.0,Open,,,,,7100100.0,866814.0,64666.0,,,,96.3920143506634
1557,McIntosh,ND,-99.712641,46.26738,,Open,,20.0,,,,,,,,,
1558,Stutsman,ND,-98.56801,46.90294,,Open,,,,,,,,,,,
1559,Ward,ND,-101.105,47.975,2031.0,Open,,11.0,,30.0,2434856.0,1730822.0,32006.0,,330.0,,21.996938074111103
1560,McKenzie,ND,-103.41547,47.77577,,Open,,,,,,,,,,,
1561,Mercer,ND,-101.65787,47.35739,,Open,,,,,,,,,,,
1562,Divide,ND,-103.00511,48.87363,,Open,,,,,,,,,,,
1563,Williams,ND,-103.58256,48.16586,,Open,,,,,,,,,,,
1564,Box Butte,NE,-102.84788,42.0902,2023.0,Open,,,,,453021.0,240270.0,11850.0,,,,17.95367088607595
